"","datetime","temp","do","do_sat"
"1058",2024-05-25 21:10:00,8.416,9.338,79.65206
"1059",2024-05-25 21:20:00,8.407,9.36,79.822288
"1060",2024-05-25 21:30:00,8.397,9.351,79.726188
"1061",2024-05-25 21:40:00,8.388,9.349,79.691729
"1062",2024-05-25 21:50:00,8.331,9.355,79.632577
"1063",2024-05-25 22:00:00,8.275,9.358,79.549755
"1064",2024-05-25 22:10:00,8.266,9.354,79.498348
"1078",2024-05-26 00:30:00,8.087,9.348,79.101631
"1079",2024-05-26 00:40:00,8.105,9.315,78.857015
"1080",2024-05-26 00:50:00,8.077,9.318,78.828534
"1081",2024-05-26 01:00:00,8.068,9.321,78.836592
"1082",2024-05-26 01:10:00,8.068,9.316,78.794302
"1083",2024-05-26 01:20:00,8.049,9.32,78.791574
"1084",2024-05-26 01:30:00,8.02,9.329,78.811812
"1085",2024-05-26 01:40:00,8.03,9.318,78.738117
"1086",2024-05-26 01:50:00,8.02,9.323,78.761123
"1087",2024-05-26 02:00:00,8.011,9.314,78.667789
"1088",2024-05-26 02:10:00,8.011,9.33,78.802928
"1089",2024-05-26 02:20:00,7.992,9.337,78.825437
"1090",2024-05-26 02:30:00,8.02,9.322,78.752675
"1091",2024-05-26 02:40:00,8.011,9.335,78.845159
"1092",2024-05-26 02:50:00,8.002,9.334,78.819374
"1093",2024-05-26 03:00:00,8.011,9.334,78.836712
"1094",2024-05-26 03:10:00,8.011,9.337,78.862051
"1095",2024-05-26 03:20:00,8.011,9.334,78.836712
"1096",2024-05-26 03:30:00,7.945,9.344,78.793911
"1097",2024-05-26 03:40:00,7.935,9.351,78.833647
"1098",2024-05-26 03:50:00,7.935,9.351,78.833647
"1099",2024-05-26 04:00:00,7.926,9.355,78.85
"1100",2024-05-26 04:10:00,7.964,9.325,78.670249
"1101",2024-05-26 04:20:00,7.945,9.32,78.59153
"1102",2024-05-26 04:30:00,7.916,9.331,78.628464
"1103",2024-05-26 04:40:00,7.926,9.311,78.479139
"1104",2024-05-26 04:50:00,7.954,9.291,78.364238
"1105",2024-05-26 05:00:00,7.926,9.305,78.428568
"1106",2024-05-26 05:10:00,7.926,9.297,78.361138
"1107",2024-05-26 05:20:00,7.935,9.299,78.395261
"1108",2024-05-26 05:30:00,7.926,9.297,78.361138
"1109",2024-05-26 05:40:00,7.935,9.281,78.243512
"1110",2024-05-26 05:50:00,7.945,9.3,78.422878
"1111",2024-05-26 06:00:00,7.945,9.295,78.380716
"1112",2024-05-26 06:10:00,7.945,9.302,78.439744
"1113",2024-05-26 06:20:00,7.973,9.278,78.290965
"1114",2024-05-26 06:30:00,7.935,9.267,78.125485
"1115",2024-05-26 06:40:00,7.898,9.264,78.029487
"1116",2024-05-26 06:50:00,7.841,9.225,77.592559
"1117",2024-05-26 07:00:00,7.822,9.202,77.363057
